dex_platform,project_platform,masterchef_platform,masterchef_address,product_name,product_short_name,product_type,pid,address,friendly_alias,network,is_native,is_external_liquidity,lp_end_date
Defira,defira,defira,,hrc20_defira_lp_wone_usdc,WONE/1USDC,LP,,0x27f0bcb74822df54f36151434999cbc8db07d4d9,WONE/1USDC,Harmony Network,1,0,
Defi Kingdoms,defi kingdoms,defi kingdoms,0xdb30643c71ac9e2122ca0341ed77d09d5f99f924,hrc20_dfk_lp_jewel_busd,JEWEL/1BUSD,LP,1,0xe01502db14929b7733e7112e173c3bcf566f996e,JEWEL/1BUSD,Harmony Network,1,0,
Defi Kingdoms,defi kingdoms,defi kingdoms,0xdb30643c71ac9e2122ca0341ed77d09d5f99f924,hrc20_dfk_lp_jewel_wbtc,JEWEL/1WBTC,LP,7,0x0acce15d05b4ba4dbedfd7afd51ea4fa1592f75e,JEWEL/1WBTC,Harmony Network,1,0,
Defi Kingdoms,defi kingdoms,defi kingdoms,0xdb30643c71ac9e2122ca0341ed77d09d5f99f924,hrc20_dfk_lp_jewel_ftm,JEWEL/1FTM,LP,16,0x7f89b5f33138c89fad4092a7c079973c95362d53,JEWEL/1FTM,Harmony Network,1,0,
Harmony,harmony,harmony,,ftm1FTM,FTM,HRC20,,0x735abe48e8782948a37c7765ecb76b98cde97b0f,ftm1FTM,Harmony Network,0,1,
Defira,defira,defira,,hrc20_defira_lp_fira_wone,FIRA/WONE,LP,,0x08de72c31ecf51dda637624d1e767578d1914dca,FIRA/WONE,Harmony Network,1,0,
Defira,defira,defira,,FIRA,FIRA,HRC20,,0x2a719af848bf365489e548be5edbec1d65858e59,FIRA,Harmony Network,1,0,
Defi Kingdoms,defi kingdoms,defi kingdoms,0xdb30643c71ac9e2122ca0341ed77d09d5f99f924,hrc20_dfk_lp_jewel_luna,JEWEL/1LUNA,LP,17,0xb6e9754b90b338ccb2a74fa31de48ad89f65ec5e,JEWEL/1LUNA,Harmony Network,1,0,
Harmony,harmony,harmony,,terra1LUNA,LUNA,HRC20,,0x95ce547d730519a90def30d647f37d9e5359b6ae,terra1LUNA,Harmony Network,0,1,
Defi Kingdoms,defi kingdoms,defi kingdoms,0xdb30643c71ac9e2122ca0341ed77d09d5f99f924,hrc20_dfk_lp_eth_jewel,1ETH/JEWEL,LP,3,0xeab84868f6c8569e14263a5326ecd62f5328a70f,1ETH/JEWEL,Harmony Network,1,0,
Defi Kingdoms,defi kingdoms,defi kingdoms,0xdb30643c71ac9e2122ca0341ed77d09d5f99f924,hrc20_dfk_lp_wone_busd,WONE/1BUSD,LP,4,0x3a0c4d87bde442150779d63c1c695d003184df52,WONE/1BUSD,Harmony Network,1,0,
Defi Kingdoms,defi kingdoms,defi kingdoms,0xdb30643c71ac9e2122ca0341ed77d09d5f99f924,hrc20_dfk_lp_jewel_bnb,JEWEL/1BNB,LP,2,0xe7d0116dd1dbbba2efbad58f097d1ffbbedc4923,JEWEL/1BNB,Harmony Network,1,0,
Harmony,harmony,harmony,,bsc1BNB,BNB,HRC20,,0xb1f6e61e1e113625593a22fa6aa94f8052bc39e0,bsc1BNB,Harmony Network,0,1,
Defi Kingdoms,defi kingdoms,defi kingdoms,0xdb30643c71ac9e2122ca0341ed77d09d5f99f924,hrc20_dfk_lp_eth_wone,1ETH/WONE,LP,9,0x864fcd9a42a5f6e0f76bc309ee26c8fab473fc3e,1ETH/WONE,Harmony Network,1,0,
Sushi Swap,sushi swap,sushi swap,,hrc20_sushi_lp_eth_wone,1ETH/WONE,LP,,0xeb049f1ed546f8efc3ad57f6c7d22f081ccc7375,1ETH/WONE,Harmony Network,1,0,
Defi Kingdoms,defi kingdoms,defi kingdoms,0xdb30643c71ac9e2122ca0341ed77d09d5f99f924,hrc20_dfk_lp_jewel_matic,JEWEL/1WMATIC,LP,18,0x3e81154912e5e2cc9b10ad123bf14aeb93ae5318,JEWEL/1WMATIC,Harmony Network,1,0,
Harmony,harmony,harmony,,matic1WMATIC,MATIC,HRC20,,0xfbdd194376de19a88118e84e279b977f165d01b8,matic1WMATIC,Harmony Network,0,1,
Defi Kingdoms,defi kingdoms,defi kingdoms,0xdb30643c71ac9e2122ca0341ed77d09d5f99f924,hrc20_dfk_lp_wbtc_eth,1WBTC/1ETH,LP,11,0x997f00485b238c83f7e58c2ea1866dfd79f04a4b,1WBTC/1ETH,Harmony Network,0,1,
Defi Kingdoms,defi kingdoms,defi kingdoms,0xdb30643c71ac9e2122ca0341ed77d09d5f99f924,hrc20_dfk_lp_jewel_xya,JEWEL/XYA,LP,5,0x3733062773b24f9bafa1e8f2e5a352976f008a95,JEWEL/XYA,Harmony Network,1,1,
Sushi Swap,sushi swap,sushi swap,,hrc20_sushi_lp_wone_usdt,WONE/1USDT,LP,,0x2c7862b408bb3dbff277110ffde1b4eaa45c692a,WONE/1USDT,Harmony Network,0,0,
Curve,curve,curve,,hrc20_curve_lp_3pool,DAI/USDC/USDT,LP,,0xc5cfada84e902ad92dd40194f0883ad49639b023,DAI/USDC/USDT,Harmony Network,0,0,
Curve,curve,curve,,hrc20_curve_lp_tricrypto,tricrypto,LP,,0x0e3dc2bcbfea84072a0c794b7653d3db364154e0,tricrypto,Harmony Network,0,0,
Tranquil Finance,tranquil finance,tranquil finance,,hrc20_tranq_tq1wbtc,tq1WBTC,MM,,0xd9c0d8ad06abe10ab29655ff98dcaaa0e059184a,tq1WBTC,Harmony Network,0,0,
Tranquil Finance,tranquil finance,tranquil finance,,hrc20_tranq_tq1eth,tq1ETH,MM,,0xc63ab8c72e636c9961c5e9288b697ec5f0b8e1f7,tq1ETH,Harmony Network,0,0,
Tranquil Finance,tranquil finance,tranquil finance,,hrc20_tranq_tq1usdc,tq1USDC,MM,,0xca3e902efdb2a410c952fd3e4ac38d7dbdcb8e96,tq1USDC,Harmony Network,0,0,
Tranquil Finance,tranquil finance,tranquil finance,,hrc20_tranq_tq1usdt,tq1USDT,MM,,0x7af2430efa179db0e76257e5208bcaf2407b2468,tq1USDT,Harmony Network,0,0,
Tranquil Finance,tranquil finance,tranquil finance,,hrc20_tranq_tq1dai,tq1DAI,MM,,0x49d95736fe7f1f32e3ee5defc26c95ba22834639,tq1DAI,Harmony Network,0,0,
Sushi Swap,sushi swap,sushi swap,,hrc20_sushi_lp_eth_dai,1ETH/1DAI,LP,,0xc5b8129b411ef5f5be22e74de6fe86c3b69e641d,1ETH/1DAI,Harmony Network,0,0,
